doc_name,cat_ratings,specialty
Dr. Rahul Patel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Gregory S. Latrenta,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,4Punctuality,3Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Ranga Chelva Krishna,"5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Neurologist
Dr. Rahul Patel,"5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Rahul Patel,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Ranga Chelva Krishna,"4Staff,4Punctuality,4Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,Staff,1Punctuality,1Helpfulness,1Knowledge,Staff,4Punctuality,4Helpfulness,4Knowledge",Neurologist
Dr. Gregory S. Latrenta,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,2Helpfulness,1Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Ranga Chelva Krishna,"5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Neurologist
Dr. Christine Ellie,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,2Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,4Knowledge",Podiatrist
Dr. Steven J. Pearlman,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Steven J. Pearlman,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Ash Tewari,"Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Barbara A. Siminovich-Blok,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Acupuncturist
Dr. Garrett H. Bennett,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Amiya Prasad,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Christine Ellie,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Ash Tewari,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Garrett H. Bennett,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Amiya Prasad,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Christine Ellie,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,2Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,2Helpfulness,2Knowledge",Podiatrist
Dr. Ash Tewari,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,4Staff,2Punctuality,3Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Garrett H. Bennett,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Amiya Prasad,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,2Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Christine Ellie,"5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge",Podiatrist
Dr. Garrett H. Bennett,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Ear Nose and Throat (ENT) Doctor
Dr. Amiya Prasad,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,3Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,3Staff,3Punctuality,1Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Ash Tewari,"1Staff,1Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Urologist
Dr. Christine Ellie,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,5Helpfulness,5Knowledge,2Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,4Knowledge",Podiatrist
Dr. Shawn M. Garber,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Bariatric / Weight Loss Specialist
Dr. Shawn M. Garber,"5Staff,5Punctuality,5Helpfulness,5Knowledge",Bariatric / Weight Loss Specialist
Dr. Norbert Gleicher,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,3Staff,1Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,3Punctuality,1Helpfulness,1Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Reproductive Endocrinologist
Dr. Barbara A. Siminovich-Blok,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Acupuncturist
Dr. Steven J. Pearlman,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Barbara A. Siminovich-Blok,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Acupuncturist
Dr. Steven J. Pearlman,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,4Punctuality,4Helpfulness,3Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Barbara A. Siminovich-Blok,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge",Acupuncturist
Dr. Steven J. Pearlman,"5Staff,5Punctuality,5Helpfulness,5Knowledge,1Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,4Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge","Plastic / Cosmetic Surgeon, Physician"
Dr. Barbara A. Siminovich-Blok,"5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,4Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,4Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge,5Staff,5Punctuality,5Helpfulness,5Knowledge",Acupuncturist
